"Commonwealth_Electoral_Division_Name","State","payment_type","amount"
"Shortland","New South Wales","austudy",194
"Sydney","New South Wales","austudy",799
"Throsby","New South Wales","austudy",209
"Warringah","New South Wales","austudy",212
"Watson","New South Wales","austudy",508
"Wentworth","New South Wales","austudy",419
"Werriwa","New South Wales","austudy",309
"Aston","Victoria","austudy",230
"Ballarat","Victoria","austudy",335
"Batman","Victoria","austudy",928
"Bendigo","Victoria","austudy",342
"Bruce","Victoria","austudy",308
"Calwell","Victoria","austudy",274
"Casey","Victoria","austudy",200
"Chisholm","Victoria","austudy",396
"Corangamite","Victoria","austudy",301
"Corio","Victoria","austudy",300
"Deakin","Victoria","austudy",297
"Dunkley","Victoria","austudy",281
"Flinders","Victoria","austudy",177
"Gellibrand","Victoria","austudy",556
"Gippsland","Victoria","austudy",140
"Goldstein","Victoria","austudy",222
"Gorton","Victoria","austudy",267
"Higgins","Victoria","austudy",422
"Holt","Victoria","austudy",300
"Hotham","Victoria","austudy",282
"Indi","Victoria","austudy",149
"Isaacs","Victoria","austudy",252
"Jagajaga","Victoria","austudy",348
"Kooyong","Victoria","austudy",345
"La Trobe","Victoria","austudy",240
"Lalor","Victoria","austudy",398
"Mallee","Victoria","austudy",106
"Maribyrnong","Victoria","austudy",449
"McEwen","Victoria","austudy",205
"McMillan","Victoria","austudy",189
"Melbourne","Victoria","austudy",1250
"Melbourne Ports","Victoria","austudy",532
"Menzies","Victoria","austudy",223
"Murray","Victoria","austudy",121
"Scullin","Victoria","austudy",284
"Wannon","Victoria","austudy",160
"Wills","Victoria","austudy",875
"Blair","Queensland","austudy",303
"Bonner","Queensland","austudy",259
"Bowman","Queensland","austudy",221
"Brisbane","Queensland","austudy",645
"Capricornia","Queensland","austudy",105
"Dawson","Queensland","austudy",130
"Dickson","Queensland","austudy",227
"Fadden","Queensland","austudy",471
"Fairfax","Queensland","austudy",455
"Fisher","Queensland","austudy",390
"Flynn","Queensland","austudy",69
"Forde","Queensland","austudy",277
"Griffith","Queensland","austudy",647
"Groom","Queensland","austudy",272
"Herbert","Queensland","austudy",359
"Hinkler","Queensland","austudy",268
"Kennedy","Queensland","austudy",105
"Leichhardt","Queensland","austudy",398
"Lilley","Queensland","austudy",342
"Longman","Queensland","austudy",284
"Maranoa","Queensland","austudy",107
"McPherson","Queensland","austudy",476
"Moncrieff","Queensland","austudy",666
"Moreton","Queensland","austudy",542
"Oxley","Queensland","austudy",311
"Petrie","Queensland","austudy",276
"Rankin","Queensland","austudy",403
"Ryan","Queensland","austudy",498
"Wide Bay","Queensland","austudy",309
"Wright","Queensland","austudy",245
"Adelaide","South Australia","austudy",669
"Barker","South Australia","austudy",141
"Boothby","South Australia","austudy",460
"Grey","South Australia","austudy",77
"Hindmarsh","South Australia","austudy",436
"Kingston","South Australia","austudy",334
"Makin","South Australia","austudy",311
"Mayo","South Australia","austudy",239
"Port Adelaide","South Australia","austudy",371
"Sturt","South Australia","austudy",398
"Wakefield","South Australia","austudy",301
"Brand","Western Australia","austudy",185
"Canning","Western Australia","austudy",185
"Cowan","Western Australia","austudy",227
"Curtin","Western Australia","austudy",357
"Durack","Western Australia","austudy",45
"Forrest","Western Australia","austudy",153
"Fremantle","Western Australia","austudy",382
"Hasluck","Western Australia","austudy",200
"Moore","Western Australia","austudy",215
"O'Connor","Western Australia","austudy",99
"Pearce","Western Australia","austudy",163
"Perth","Western Australia","austudy",343
"Stirling","Western Australia","austudy",353
"Swan","Western Australia","austudy",418
"Tangney","Western Australia","austudy",220
"Bass","Tasmania","austudy",320
"Braddon","Tasmania","austudy",151
"Denison","Tasmania","austudy",417
"Franklin","Tasmania","austudy",194
"Lyons","Tasmania","austudy",137
"Lingiari","Northern Territory","austudy",39
"Solomon","Northern Territory","austudy",125
"Canberra","Australian Capital Territory","austudy",226
